ID,spacegroup,number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,formation_energy_ev_natom,bandgap_energy_ev
1568,194,80,0.625,0.375,0,6.184,6.1838,23.6287,90.0186,89.998,120.0025,,
1569,206,80,0.0312,0.0938,0.875,10.1664,10.1664,10.1666,90.0009,90.0008,89.9987,,
1570,12,20,0.5,0,0.5,12.135,3.1533,6.288,89.9997,105.179,90.0001,,
1571,206,80,0.5312,0.2188,0.25,9.4027,9.4023,9.4025,90.0025,90.003,89.9978,,
1572,194,80,0.375,0.125,0.5,6.6318,6.6314,24.4597,90.0152,90.0071,119.9918,,
1573,33,80,0,0.375,0.625,10.9377,9.3249,9.9463,89.9988,89.998,90,,
1574,167,30,0.75,0.1667,0.0833,4.9172,4.917,13.3449,89.9883,90.0127,120.0015,,
1575,33,40,0.875,0,0.125,4.987,8.5565,9.1881,90.0055,90.0021,90.001,,
1576,227,40,0.875,0.125,0,9.7899,5.6664,13.9461,90.5713,90.6612,30.2512,,
1577,227,40,0,0.25,0.75,10.4296,6.1786,15.1318,96.7363,97.9868,32.4294,,
1578,227,40,0.25,0.4375,0.3125,6.0905,6.0882,14.9241,90.042,88.1559,120.0197,,
1579,194,80,0.8438,0.125,0.0312,6.142,6.1416,23.5046,90.0119,90.0019,120.0044,,
1580,194,80,0.5,0.5,0,6.2225,6.2224,23.7226,90.0187,89.9985,120.0009,,
1581,194,80,0.4062,0.125,0.4688,6.5988,6.5984,24.3959,90.0152,90.0081,119.9925,,
1582,33,40,0.4375,0,0.5625,5.3319,9.098,9.7263,90.0029,89.9996,90.0005,,
1583,33,80,0.1875,0.8125,0,10.1568,8.7257,9.3445,89.9983,90.002,90.002,,
1584,33,80,0.4375,0.125,0.4375,10.5252,8.9931,9.6202,90.0025,90.0003,90.0006,,
1585,33,80,0.3125,0.2812,0.4062,10.549,9.0167,9.6414,90.0012,90.0002,90.0005,,
1586,194,80,0.4375,0.5625,0,6.2421,6.2421,23.7696,90.0178,89.9991,120.0001,,
1587,227,40,0.6875,0.1875,0.125,9.7089,5.6902,14.4064,98.4826,99.9592,31.4469,,
1588,33,80,0.625,0.2812,0.0938,10.0562,8.6299,9.257,90.003,90.002,90.0013,,
1589,167,30,0.6667,0.3333,0,4.8947,4.8944,13.293,89.9894,90.0117,120.0012,,
1590,33,80,0.0625,0.75,0.1875,10.4232,8.9329,9.5513,89.9978,90.0009,90.001,,
1591,227,40,0.875,0,0.125,9.7273,5.645,13.9226,90.9296,91.077,30.5048,,
1592,33,80,0.375,0.4375,0.1875,10.2771,8.8083,9.432,90.001,90.0014,90.001,,
1593,167,30,0,0.0833,0.9167,5.5351,5.5345,14.6534,89.9979,89.9993,120.0011,,
1594,194,80,0.7188,0.2812,0,6.1557,6.1554,23.5583,90.0171,89.9982,120.0036,,
1595,167,30,0.5833,0.3333,0.0833,4.9585,4.9582,13.428,89.9912,90.0099,120.0012,,
1596,206,80,0,0,1,10.2904,10.2903,10.2907,90.0004,90.0004,89.9994,,
1597,12,20,0.375,0.625,0,12.2659,3.0312,5.8004,89.9997,103.7911,90.0002,,
1598,206,80,0.4688,0.5312,0,9.2073,9.2069,9.2068,90.0045,90.0046,89.9956,,
1599,206,80,0,0.9062,0.0938,9.4868,9.4868,9.4863,90.0057,90.0048,89.9931,,
1600,167,60,0.7083,0.0417,0.25,10.0279,5.0137,13.5526,89.9895,90.0112,120.0016,,
1601,12,80,0.6875,0.3125,0,24.2072,5.9735,5.7364,89.9993,103.9031,90.0002,,
1602,33,80,0.4688,0.0312,0.5,10.5799,9.0331,9.6613,90.003,90,90.0005,,
1603,12,80,0.4375,0.25,0.3125,24.3844,6.2195,6.1079,89.9997,104.6791,90.0001,,
1604,33,40,0.0625,0.9375,0,5.1076,8.7756,9.3922,89.997,90.0018,90.002,,
1605,33,80,0.5625,0.1875,0.25,10.2588,8.786,9.4134,90.003,90.0014,90.0009,,
1606,12,80,0.4062,0.2812,0.3125,24.4169,6.2284,6.1143,89.9997,104.6682,90.0001,,
1607,206,80,0.4375,0,0.5625,9.7191,9.7187,9.7191,90.0009,90.0016,89.9993,,
1608,167,30,0.5,0.0833,0.4167,5.1519,5.1516,13.8434,89.9929,90.0073,120.0014,,
1609,206,80,0.4062,0.0938,0.5,9.6768,9.6764,9.6767,90.0014,90.0019,89.9986,,
1610,12,80,0.4688,0.3125,0.2188,24.3767,6.1582,6.0053,89.9996,104.4396,90.0002,,
