,total_atoms,10,20,30,40,60,80,space,S12,S33,S167,S194,S206,S227,AL,GA,IN,vec1ang,vec2ang,vec3ang,alpha,beta,gamma,bandgap_energy_ev_log_y_plus_1,Al_C,GA_C,IN_C
1,692.5198432,0,0,0,0,0,1,33,0,1,0,0,0,0,0.484245986,-0.484245986,-3.663561646,3.104620032,4.988316582,1.701847241,0.086473708,0.064457294,0.77306081,1.490361541,1,0,0
2,228.027526,0,0,0,1,0,0,227,0,0,0,0,0,1,1.366876275,-1.366876275,-3.663561646,3.068418916,3.378124007,1.930738837,0.086529501,0.064467561,-0.340849102,1.320101138,1,0,0
3,143.6775564,0,0,1,0,0,0,167,0,0,1,0,0,0,1.033015006,-3.663561646,-1.033015006,1.982471485,2.980911006,1.914447635,0.086472856,0.064457391,1.857092437,1.46999192,1,0,0
4,692.5198432,0,0,0,0,0,1,194,0,0,0,1,0,0,-3.663561646,0.484245986,-0.484245986,2.426157558,3.95894604,2.203576285,0.086473301,0.064457276,1.856566964,0.866806327,0,1,0
5,228.027526,0,0,0,1,0,0,227,0,0,0,0,0,1,0.238625915,-0.238625915,-3.663561646,3.085500585,3.412612672,1.936675717,0.086537764,0.064469028,-0.340401937,1.151615786,1,0,0
6,692.5198432,0,0,0,0,0,1,194,0,0,0,1,0,0,-0.360287385,0.360287385,-3.663561646,2.325061224,3.72508234,2.188879969,0.086474608,0.064457264,1.857007679,1.258091603,0,1,0
7,436.8185506,0,0,0,0,1,0,167,0,0,1,0,0,0,0.319223494,-0.319223494,-3.663561646,3.082818323,2.92623069,1.906779433,0.086472986,0.064457375,1.857067009,1.583566105,1,0,0
8,692.5198432,0,0,0,0,0,1,194,0,0,0,1,0,0,0.360287385,-0.360287385,-3.663561646,2.310213113,3.691220965,2.18618869,0.086474713,0.06445725,1.857109389,1.355964011,1,0,0
9,228.027526,0,0,0,1,0,0,33,0,1,0,0,0,0,1.366876275,-1.366876275,-3.663561646,1.961044479,4.948973935,1.697342888,0.086473819,0.064457295,0.773054808,1.590030807,1,0,0
10,692.5198432,0,0,0,0,0,1,206,0,0,0,0,1,0,-1.78448671,1.78448671,-3.663561646,2.994843284,5.402818922,1.712563955,0.086473912,0.064457322,0.77280876,1.263307182,0,1,0
11,692.5198432,0,0,0,0,0,1,12,1,0,0,0,0,0,-0.238625915,-1.366876275,-0.484245986,4.887191068,3.726524815,1.462232958,0.086473529,0.064510605,0.773012798,0.949802874,0,0,0
12,692.5198432,0,0,0,0,0,1,194,0,0,0,1,0,0,2.049429894,-2.384335743,-2.850799592,2.292410019,3.650704024,2.182440511,0.086474097,0.064457301,1.857236529,1.191282624,1,0,0
13,692.5198432,0,0,0,0,0,1,12,1,0,0,0,0,0,-3.663561646,-0.360287385,0.360287385,4.92317837,3.86814571,1.493511276,0.086473566,0.064510921,0.773009797,0.781341191,0,0,1
14,143.6775564,0,0,1,0,0,0,167,0,0,1,0,0,0,-0.319223494,-0.656016573,-1.033015006,2.007009928,3.031619543,1.920806503,0.08647319,0.064457336,1.857062771,1.271724906,0,0,0
15,74.80220421,0,1,0,0,0,0,12,1,0,0,0,0,0,-1.033015006,-1.033015006,0,3.485589275,1.788425086,1.479084846,0.086473548,0.064510807,0.773012798,0.939850996,0,0,0
16,143.6775564,0,0,1,0,0,0,167,0,0,1,0,0,0,0.319223494,-0.319223494,-3.663561646,1.955901391,2.92623069,1.906779433,0.086472986,0.064457375,1.857067009,1.603238737,1,0,0
17,143.6775564,0,0,1,0,0,0,167,0,0,1,0,0,0,0.656016573,-3.663561646,-0.656016573,2.001451325,3.020194871,1.91961707,0.086472949,0.064457374,1.857088199,1.364099876,1,0,0
18,692.5198432,0,0,0,0,0,1,194,0,0,0,1,0,0,-1.561789607,0.238625915,-0.885013195,2.396799358,3.890310243,2.199194068,0.086473832,0.064457302,1.856689851,0.779829337,0,1,0
19,228.027526,0,0,0,1,0,0,227,0,0,0,0,0,1,-0.238625915,-1.033015006,-0.745168365,2.271680408,3.603695661,1.941515396,0.086474528,0.064457304,1.857117864,0.681074599,0,0,0
20,692.5198432,0,0,0,0,0,1,12,1,0,0,0,0,0,-2.049429894,0,-0.360287385,4.918851455,3.792865273,1.472620831,0.086473554,0.064510574,0.773012798,0.765281778,0,0,0
21,692.5198432,0,0,0,0,0,1,206,0,0,0,0,1,0,1.366876275,-2.850799592,-1.561789607,2.966717315,5.325875373,1.70334726,0.086473671,0.064457301,0.772982791,1.479853008,1,0,0
22,692.5198432,0,0,0,0,0,1,194,0,0,0,1,0,0,-0.61196976,-0.745168365,-0.61196976,2.393275542,3.881996069,2.198067865,0.086474306,0.064457325,1.85674494,0.9345235,0,0,0
23,228.027526,0,0,0,1,0,0,33,0,1,0,0,0,0,0.238625915,-3.663561646,-0.238625915,2.050008347,5.192837643,1.72593095,0.086473776,0.064457275,0.773027801,1.139882183,1,0,0
24,692.5198432,0,0,0,0,0,1,12,1,0,0,0,0,0,0.360287385,-1.192231899,-1.366876275,4.876888374,3.640015595,1.438627587,0.086473517,0.06451023,0.773015799,1.237127077,1,0,0
25,692.5198432,0,0,0,0,0,1,206,0,0,0,0,1,0,-3.663561646,0.238625915,-0.238625915,3.075765106,5.626469288,1.73874889,0.086473758,0.064457301,0.77287477,0.860016633,0,1,0
26,692.5198432,0,0,0,0,0,1,12,1,0,0,0,0,0,-0.61196976,-0.360287385,-1.033015006,4.899065876,3.701516626,1.450882291,0.086473536,0.064510301,0.773012798,1.09051291,0,0,0
27,228.027526,0,0,0,1,0,0,33,0,1,0,0,0,0,0,-3.663561646,0,2.064177756,5.232899361,1.730475299,0.086473752,0.064457271,0.773027801,1.098045461,0,0,0
28,692.5198432,0,0,0,0,0,1,33,0,1,0,0,0,0,-0.745168365,-2.384335743,0.484245986,3.249890567,5.325464277,1.740799621,0.086473665,0.064457259,0.7730218,0.85271175,0,0,1
29,692.5198432,0,0,0,0,0,1,194,0,0,0,1,0,0,-2.049429894,-0.118699172,-0.238625915,2.429748003,3.967322323,2.203753463,0.086473727,0.06445727,1.856583914,0.655964389,0,0,0
30,692.5198432,0,0,0,0,0,1,12,1,0,0,0,0,0,-0.885013195,-0.61196976,-0.484245986,4.901961388,3.752114439,1.465491255,0.086473542,0.064510561,0.773012798,0.932242818,0,0,0
31,692.5198432,0,0,0,0,0,1,33,0,1,0,0,0,0,1.366876275,-2.850799592,-1.561789607,3.119847761,5.017860689,1.705650233,0.086473856,0.064457291,0.773039804,1.49038407,1,0,0
32,692.5198432,0,0,0,0,0,1,33,0,1,0,0,0,0,0.484245986,-2.850799592,-0.61196976,3.171695674,5.139051772,1.719748156,0.086473795,0.064457282,0.773030802,1.184789985,1,0,0
33,692.5198432,0,0,0,0,0,1,194,0,0,0,1,0,0,2.850799592,-2.850799592,-3.663561646,2.281825608,3.626816001,2.180751351,0.08647393,0.064457286,1.857295863,1.609217888,1,0,0
34,692.5198432,0,0,0,0,0,1,206,0,0,0,0,1,0,-0.360287385,-0.61196976,-1.033015006,3.014173802,5.455709788,1.718886448,0.086473733,0.064457303,0.772916778,1.195587748,0,0,0
35,692.5198432,0,0,0,0,0,1,12,1,0,0,0,0,0,0,0,-3.663561646,4.890298581,3.594481448,1.419667013,0.086473517,0.064509714,0.773015799,1.345133768,0,0,0
36,692.5198432,0,0,0,0,0,1,194,0,0,0,1,0,0,0.745168365,-1.192231899,-2.049429894,2.320655789,3.714864662,2.18714601,0.086474491,0.064457308,1.857079723,1.106382026,1,0,0
37,692.5198432,0,0,0,0,0,1,33,0,1,0,0,0,0,0.484245986,-1.561789607,-1.192231899,3.147525836,5.084397942,1.713321671,0.086473764,0.064457287,0.773036804,1.261779341,1,0,0
38,228.027526,0,0,0,1,0,0,227,0,0,0,0,0,1,-2.384335743,0.484245986,-0.745168365,3.194472376,3.614125821,1.957809196,0.086337213,0.064429454,-0.342604626,0.517960113,0,1,0
39,143.6775564,0,0,1,0,0,0,167,0,0,1,0,0,0,-0.319223494,-0.656016573,-1.033015006,2.007009928,3.031619543,1.920806503,0.08647319,0.064457336,1.857062771,1.256840359,0,0,0
40,692.5198432,0,0,0,0,0,1,206,0,0,0,0,1,0,-2.384335743,-2.049429894,1.561789607,3.135348395,5.794077356,1.757653851,0.086473603,0.06445728,0.772970789,0.691195277,0,0,1
41,228.027526,0,0,0,1,0,0,227,0,0,0,0,0,1,-0.238625915,0.238625915,-3.663561646,3.121336817,3.441972545,1.94154427,0.086674091,0.064483992,-0.34415743,1.202912242,0,1,0
42,143.6775564,0,0,1,0,0,0,167,0,0,1,0,0,0,0,0,-3.663561646,1.962162094,2.938999121,1.908408815,0.086473072,0.064457361,1.857058533,1.563582438,0,0,0
43,692.5198432,0,0,0,0,0,1,33,0,1,0,0,0,0,-1.78448671,1.366876275,-2.384335743,3.158106281,5.120005063,1.716867424,0.086473418,0.064457287,0.773057809,1.14730721,0,1,0
44,143.6775564,0,0,1,0,0,0,167,0,0,1,0,0,0,0,0,-3.663561646,1.962162094,2.938999121,1.908408815,0.086473072,0.064457361,1.857058533,1.54817934,0,0,0
45,692.5198432,0,0,0,0,0,1,206,0,0,0,0,1,0,0.61196976,-0.61196976,-3.663561646,2.952839834,5.288370024,1.698750514,0.086473782,0.064457313,0.772916778,1.573313202,1,0,0
46,692.5198432,0,0,0,0,0,1,206,0,0,0,0,1,0,-2.049429894,0.745168365,-1.192231899,3.033235437,5.50837627,1.725068969,0.086473826,0.064457311,0.772847766,1.043346201,0,1,0
47,692.5198432,0,0,0,0,0,1,33,0,1,0,0,0,0,0.61196976,-1.561789607,-1.366876275,3.138869208,5.06418525,1.710964971,0.086473776,0.064457288,0.773039804,1.301008767,1,0,0
48,228.027526,0,0,0,1,0,0,227,0,0,0,0,0,1,-1.78448671,-0.745168365,0.238625915,2.331223498,3.738231315,1.966118522,0.086474072,0.06445726,1.856990727,0.312618558,0,0,1
49,228.027526,0,0,0,1,0,0,227,0,0,0,0,0,1,0.484245986,-1.033015006,-1.78448671,3.064809817,3.404964236,1.947620324,0.08677881,0.064503896,-0.332892443,1.181512448,1,0,0
50,692.5198432,0,0,0,0,0,1,12,1,0,0,0,0,0,-1.192231899,0.118699172,-1.033015006,4.910839065,3.722081438,1.453555606,0.086473542,0.064510263,0.773012798,0.991175545,0,1,0
51,228.027526,0,0,0,1,0,0,227,0,0,0,0,0,1,0,-0.484245986,-1.78448671,3.126435072,3.481747733,1.94552035,0.086520061,0.06446589,-0.342628193,1.264635072,0,0,0
52,692.5198432,0,0,0,0,0,1,33,0,1,0,0,0,0,-1.78448671,-1.192231899,0.61196976,3.270344396,5.377280819,1.746402934,0.086473554,0.064457252,0.773015799,0.703345006,0,0,1
53,692.5198432,0,0,0,0,0,1,206,0,0,0,0,1,0,-0.118699172,-1.192231899,-0.745168365,3.019582976,5.470585788,1.7206503,0.08647369,0.064457299,0.772943783,1.206389881,0,0,0
54,692.5198432,0,0,0,0,0,1,194,0,0,0,1,0,0,1.78448671,-2.049429894,-2.850799592,2.294720659,3.65592855,2.182895435,0.086474195,0.064457295,1.857223815,1.531303383,1,0,0
55,692.5198432,0,0,0,0,0,1,12,1,0,0,0,0,0,-3.663561646,-0.360287385,0.360287385,4.92317837,3.86814571,1.493511276,0.086473566,0.064510921,0.773009797,0.765421329,0,0,1
56,692.5198432,0,0,0,0,0,1,194,0,0,0,1,0,0,-0.745168365,0.61196976,-2.850799592,2.338448792,3.755683453,2.190980473,0.086474393,0.064457286,1.856931398,0.85079175,0,1,0
57,692.5198432,0,0,0,0,0,1,12,1,0,0,0,0,0,-0.745168365,-0.484245986,-0.745168365,4.900518524,3.726870983,1.458239249,0.086473542,0.064510434,0.773012798,0.986637353,0,0,0
58,692.5198432,0,0,0,0,0,1,33,0,1,0,0,0,0,0,-1.561789607,-0.61196976,3.181824296,5.164929838,1.722610806,0.086473721,0.064457279,0.773030802,1.10316856,0,0,0
59,74.80220421,0,1,0,0,0,0,12,1,0,0,0,0,0,-0.484245986,0.484245986,-3.663561646,3.485741852,1.676218168,1.422518805,0.086473529,0.064509671,0.773015799,1.27642369,0,1,0
