"ID","number_of_total_atoms","atoms_10","atoms_20","atoms_30","atoms_40","atoms_60","atoms_80","spacegroup","Spacegroup_12","Spacegroup_33","Spacegroup_167","Spacegroup_194","Spacegroup_206","Spacegroup_227","percent_atom_al","percent_atom_ga","percent_atom_in","lattice_vector_1_ang","lattice_vector_2_ang","lattice_vector_3_ang","lattice_angle_alpha_degree","lattice_angle_beta_degree","lattice_angle_gamma_degree","formation_energy_ev_natom_log_y_plus_1","bandgap_energy_ev_log_y_plus_1","Aluminum","Gallium","Indium"
1,692.519843155147,0,0,0,0,0,1,33,0,1,0,0,0,0,0.484245985961279,-0.484245985961279,-3.66356164612965,3.10462003213222,4.98831658223134,1.70184724089704,0.0864737083629135,0.0644572937039527,0.773060809510893,0.0657877405380032,1.49036154077916,1,0,0
2,228.027525963663,0,0,0,1,0,0,227,0,0,0,0,0,1,1.36687627526279,-1.36687627526279,-3.66356164612965,3.06841891599231,3.37812400662581,1.93073883668375,0.0865295008943572,0.0644675610866536,-0.340849101936215,0.167292517774194,1.32010113838509,1,0,0
3,143.677556388614,0,0,1,0,0,0,167,0,0,1,0,0,0,1.0330150061823,-3.66356164612965,-1.0330150061823,1.98247148543359,2.98091100635186,1.91444763513199,0.086472856210184,0.0644573908903325,1.85709243670524,0.196553139040679,1.46999192014146,1,0,0
4,692.519843155147,0,0,0,0,0,1,194,0,0,0,1,0,0,-3.66356164612965,0.484245985961279,-0.484245985961279,2.42615755841713,3.9589460402115,2.2035762854381,0.0864733010153904,0.0644572764760318,1.85656696438323,0.049266241302918,0.866806326775246,0,1,0
5,228.027525963663,0,0,0,1,0,0,227,0,0,0,0,0,1,0.238625915462586,-0.238625915462587,-3.66356164612965,3.08550058495127,3.4126126724841,1.93667571740082,0.0865377639291133,0.0644690281819778,-0.340401937067207,0.199588291692673,1.15161578649041,1,0,0
6,692.519843155147,0,0,0,0,0,1,194,0,0,0,1,0,0,-0.360287384658641,0.360287384658641,-3.66356164612965,2.32506122405799,3.72508233991564,2.18887996919166,0.0864746081395637,0.0644572643119132,1.85700767869755,0.181821431752272,1.25809160321343,0,1,0
7,436.818550616046,0,0,0,0,1,0,167,0,0,1,0,0,0,0.319223493841839,-0.319223493841839,-3.66356164612965,3.08281832266677,2.92623068974854,1.90677943343328,0.0864729859909909,0.0644573747044775,1.85706700912494,0.056474846927979,1.58356610486653,1,0,0
8,692.519843155147,0,0,0,0,0,1,194,0,0,0,1,0,0,0.360287384658641,-0.360287384658641,-3.66356164612965,2.31021311324668,3.69122096543826,2.18618868979406,0.0864747127895521,0.0644572501170589,1.8571093885102,0.23031775506221,1.35596401131206,1,0,0
9,228.027525963663,0,0,0,1,0,0,33,0,1,0,0,0,0,1.36687627526279,-1.36687627526279,-3.66356164612965,1.961044478512,4.94897393496432,1.69734288769218,0.0864738193929032,0.0644572947171927,0.773054808001632,0.0521179542621068,1.59003080690887,1,0,0
10,692.519843155147,0,0,0,0,0,1,206,0,0,0,0,1,0,-1.78448670989897,1.78448670989897,-3.66356164612965,2.99484328416448,5.40281892168045,1.71256395474601,0.0864739118966944,0.0644573220676501,0.772808759901091,0.0751074724868055,1.26330718237104,0,1,0
