"","x"
"1","Classical"
"2","Rock"
"3","Blues"
"4","Classical"
"5","Jazz"
"6","Jazz"
"7","Classical"
"8","Classical"
"9","Pop"
"10","Jazz"
"11","Rock"
"12","Jazz"
"13","Classical"
"14","Classical"
"15","Pop"
"16","Blues"
"17","Pop"
"18","Classical"
"19","Jazz"
"20","Jazz"
"21","Pop"
"22","Classical"
"23","Pop"
"24","Rock"
"25","Rock"
"26","Classical"
"27","Blues"
"28","Rock"
"29","Jazz"
"30","Pop"
"31","Pop"
"32","Jazz"
"33","Rock"
"34","Jazz"
"35","Jazz"
"36","Blues"
"37","Classical"
"38","Classical"
"39","Rock"
"40","Rock"
"41","Classical"
"42","Rock"
"43","Classical"
"44","Pop"
"45","Classical"
"46","Pop"
"47","Metal"
"48","Classical"
"49","Classical"
"50","Classical"
"51","Rock"
"52","Blues"
"53","Pop"
"54","Rock"
"55","Metal"
"56","Rock"
"57","Rock"
"58","Blues"
"59","Metal"
"60","Blues"
"61","Classical"
"62","Classical"
"63","Blues"
"64","Jazz"
"65","Classical"
"66","Blues"
"67","Blues"
"68","Classical"
"69","Jazz"
"70","Classical"
"71","Classical"
"72","Jazz"
"73","Blues"
"74","Pop"
"75","Jazz"
"76","Jazz"
"77","Pop"
"78","Blues"
"79","Classical"
"80","Classical"
"81","Classical"
"82","Blues"
"83","Jazz"
"84","Rock"
"85","Rock"
"86","Rock"
"87","Jazz"
"88","Jazz"
"89","Jazz"
"90","Metal"
"91","Rock"
"92","Jazz"
"93","Classical"
"94","Blues"
"95","Classical"
"96","Jazz"
"97","Rock"
"98","Classical"
"99","Rock"
"100","Classical"
"101","Blues"
"102","Classical"
"103","Classical"
"104","Pop"
"105","Classical"
"106","Pop"
"107","Classical"
"108","Metal"
"109","Blues"
"110","Classical"
"111","Jazz"
"112","Jazz"
"113","Jazz"
"114","Jazz"
"115","Pop"
"116","Classical"
"117","Jazz"
"118","Jazz"
"119","Jazz"
"120","Classical"
"121","Classical"
"122","Jazz"
"123","Pop"
"124","Jazz"
"125","Jazz"
"126","Classical"
"127","Classical"
"128","Classical"
"129","Classical"
"130","Rock"
"131","Jazz"
"132","Classical"
"133","Classical"
"134","Rock"
"135","Classical"
"136","Rock"
"137","Classical"
"138","Pop"
"139","Blues"
"140","Rock"
"141","Rock"
"142","Classical"
"143","Jazz"
"144","Classical"
"145","Pop"
"146","Pop"
"147","Rock"
"148","Pop"
"149","Rock"
"150","Rock"
"151","Classical"
"152","Classical"
"153","Rock"
"154","Classical"
"155","Blues"
"156","Classical"
"157","Jazz"
"158","Jazz"
"159","Blues"
"160","Blues"
"161","Jazz"
"162","Pop"
"163","Classical"
"164","Jazz"
"165","Metal"
"166","Rock"
"167","Blues"
"168","Blues"
"169","Pop"
"170","Blues"
"171","Jazz"
"172","Pop"
"173","Jazz"
"174","Blues"
"175","Blues"
"176","Pop"
"177","Classical"
"178","Blues"
"179","Rock"
"180","Jazz"
"181","Classical"
"182","Classical"
"183","Blues"
"184","Pop"
"185","Blues"
"186","Jazz"
"187","Jazz"
"188","Classical"
"189","Jazz"
"190","Classical"
"191","Blues"
"192","Classical"
"193","Rock"
"194","Metal"
"195","Jazz"
"196","Classical"
"197","Blues"
"198","Classical"
"199","Rock"
"200","Blues"
"201","Rock"
"202","Rock"
"203","Classical"
"204","Classical"
"205","Classical"
"206","Pop"
"207","Jazz"
"208","Classical"
"209","Jazz"
"210","Classical"
"211","Rock"
"212","Jazz"
"213","Classical"
"214","Classical"
"215","Jazz"
"216","Jazz"
"217","Rock"
"218","Jazz"
"219","Pop"
"220","Blues"
"221","Classical"
"222","Classical"
"223","Classical"
"224","Blues"
"225","Pop"
"226","Metal"
"227","Classical"
"228","Blues"
"229","Classical"
"230","Rock"
"231","Classical"
"232","Pop"
"233","Jazz"
"234","Jazz"
"235","Jazz"
"236","Metal"
"237","Classical"
"238","Classical"
"239","Jazz"
"240","Jazz"
"241","Jazz"
"242","Classical"
"243","Rock"
"244","Classical"
"245","Rock"
"246","Jazz"
"247","Blues"
"248","Metal"
"249","Classical"
"250","Classical"
"251","Jazz"
"252","Pop"
"253","Classical"
"254","Jazz"
"255","Blues"
"256","Rock"
"257","Blues"
"258","Jazz"
"259","Classical"
"260","Classical"
"261","Rock"
"262","Jazz"
"263","Pop"
"264","Pop"
"265","Classical"
"266","Classical"
"267","Metal"
"268","Jazz"
"269","Classical"
"270","Jazz"
"271","Jazz"
"272","Blues"
"273","Metal"
"274","Jazz"
"275","Metal"
"276","Blues"
"277","Classical"
"278","Classical"
"279","Pop"
"280","Jazz"
"281","Pop"
"282","Classical"
"283","Metal"
"284","Classical"
"285","Blues"
"286","Pop"
"287","Jazz"
"288","Rock"
"289","Classical"
"290","Classical"
"291","Classical"
"292","Metal"
"293","Jazz"
"294","Classical"
"295","Jazz"
"296","Jazz"
"297","Classical"
"298","Jazz"
"299","Metal"
"300","Jazz"
"301","Blues"
"302","Pop"
"303","Jazz"
"304","Pop"
"305","Jazz"
"306","Jazz"
"307","Classical"
"308","Jazz"
"309","Classical"
"310","Pop"
"311","Jazz"
"312","Jazz"
"313","Pop"
"314","Rock"
"315","Classical"
"316","Blues"
"317","Pop"
"318","Jazz"
"319","Classical"
"320","Rock"
"321","Classical"
"322","Jazz"
"323","Classical"
"324","Classical"
"325","Jazz"
"326","Pop"
"327","Blues"
"328","Metal"
"329","Classical"
"330","Classical"
"331","Classical"
"332","Metal"
"333","Jazz"
"334","Rock"
"335","Rock"
"336","Jazz"
"337","Pop"
"338","Classical"
"339","Classical"
"340","Rock"
"341","Pop"
"342","Jazz"
"343","Classical"
"344","Classical"
"345","Jazz"
"346","Classical"
"347","Jazz"
"348","Classical"
"349","Jazz"
"350","Blues"
"351","Metal"
"352","Pop"
"353","Rock"
"354","Jazz"
"355","Blues"
"356","Pop"
"357","Rock"
"358","Rock"
"359","Pop"
"360","Pop"
"361","Classical"
"362","Classical"
"363","Jazz"
"364","Classical"
"365","Classical"
"366","Metal"
"367","Pop"
"368","Classical"
"369","Classical"
"370","Jazz"
"371","Metal"
"372","Jazz"
"373","Classical"
"374","Blues"
"375","Blues"
"376","Jazz"
"377","Pop"
"378","Classical"
"379","Jazz"
"380","Blues"
"381","Blues"
"382","Rock"
"383","Rock"
"384","Classical"
"385","Pop"
"386","Classical"
"387","Rock"
"388","Rock"
"389","Pop"
"390","Classical"
"391","Classical"
"392","Jazz"
"393","Pop"
"394","Jazz"
"395","Jazz"
"396","Classical"
"397","Classical"
"398","Jazz"
"399","Jazz"
"400","Rock"
"401","Blues"
"402","Classical"
"403","Jazz"
"404","Rock"
"405","Blues"
"406","Classical"
"407","Blues"
"408","Rock"
"409","Blues"
"410","Rock"
"411","Jazz"
"412","Classical"
"413","Classical"
"414","Jazz"
"415","Blues"
"416","Blues"
"417","Rock"
"418","Jazz"
"419","Pop"
"420","Pop"
"421","Jazz"
"422","Rock"
"423","Classical"
"424","Rock"
"425","Classical"
"426","Metal"
"427","Pop"
"428","Classical"
"429","Metal"
"430","Classical"
"431","Classical"
"432","Classical"
"433","Metal"
"434","Pop"
"435","Classical"
"436","Jazz"
"437","Rock"
"438","Blues"
"439","Blues"
"440","Classical"
"441","Jazz"
"442","Blues"
"443","Jazz"
"444","Pop"
"445","Jazz"
"446","Rock"
"447","Classical"
"448","Pop"
"449","Metal"
"450","Jazz"
"451","Pop"
"452","Jazz"
"453","Rock"
"454","Jazz"
"455","Jazz"
"456","Classical"
"457","Blues"
"458","Classical"
"459","Jazz"
"460","Jazz"
"461","Blues"
"462","Classical"
"463","Pop"
"464","Classical"
"465","Classical"
"466","Classical"
"467","Metal"
"468","Metal"
"469","Pop"
"470","Pop"
"471","Classical"
"472","Blues"
"473","Blues"
"474","Metal"
"475","Pop"
"476","Classical"
"477","Metal"
"478","Blues"
"479","Rock"
"480","Classical"
"481","Classical"
"482","Classical"
"483","Metal"
"484","Blues"
"485","Rock"
"486","Jazz"
"487","Classical"
"488","Classical"
"489","Classical"
"490","Pop"
"491","Classical"
"492","Classical"
"493","Classical"
"494","Rock"
"495","Rock"
"496","Rock"
"497","Jazz"
"498","Jazz"
"499","Classical"
"500","Classical"
"501","Rock"
"502","Jazz"
"503","Jazz"
"504","Blues"
"505","Jazz"
"506","Blues"
"507","Metal"
"508","Blues"
"509","Pop"
"510","Blues"
"511","Metal"
"512","Classical"
"513","Metal"
"514","Pop"
"515","Rock"
"516","Classical"
"517","Classical"
"518","Jazz"
"519","Pop"
"520","Rock"
"521","Classical"
"522","Rock"
"523","Metal"
"524","Classical"
"525","Blues"
"526","Jazz"
"527","Classical"
"528","Jazz"
"529","Classical"
"530","Classical"
"531","Jazz"
"532","Jazz"
"533","Rock"
"534","Blues"
"535","Jazz"
"536","Rock"
"537","Blues"
"538","Blues"
"539","Pop"
"540","Jazz"
"541","Rock"
"542","Rock"
"543","Pop"
"544","Pop"
"545","Jazz"
"546","Pop"
"547","Classical"
"548","Jazz"
"549","Rock"
"550","Classical"
"551","Blues"
"552","Pop"
"553","Pop"
"554","Jazz"
"555","Pop"
"556","Classical"
"557","Classical"
"558","Classical"
"559","Classical"
"560","Jazz"
"561","Jazz"
"562","Metal"
"563","Metal"
"564","Blues"
"565","Classical"
"566","Metal"
"567","Rock"
"568","Rock"
"569","Classical"
"570","Classical"
"571","Classical"
"572","Classical"
"573","Blues"
"574","Jazz"
"575","Metal"
"576","Blues"
"577","Rock"
"578","Rock"
"579","Blues"
"580","Blues"
"581","Rock"
"582","Blues"
"583","Classical"
"584","Classical"
"585","Jazz"
"586","Jazz"
"587","Metal"
"588","Classical"
"589","Rock"
"590","Jazz"
"591","Rock"
"592","Rock"
"593","Classical"
"594","Metal"
"595","Metal"
"596","Pop"
"597","Classical"
"598","Classical"
"599","Pop"
"600","Classical"
"601","Classical"
"602","Rock"
"603","Jazz"
"604","Classical"
"605","Jazz"
"606","Rock"
"607","Classical"
"608","Classical"
"609","Pop"
"610","Classical"
"611","Metal"
"612","Classical"
"613","Rock"
"614","Classical"
"615","Rock"
"616","Metal"
"617","Rock"
"618","Classical"
"619","Classical"
"620","Jazz"
"621","Blues"
"622","Blues"
"623","Classical"
"624","Jazz"
"625","Classical"
"626","Classical"
"627","Classical"
"628","Blues"
"629","Jazz"
"630","Metal"
"631","Pop"
"632","Blues"
"633","Classical"
"634","Jazz"
"635","Jazz"
"636","Pop"
"637","Jazz"
"638","Blues"
"639","Pop"
"640","Rock"
"641","Metal"
"642","Classical"
"643","Blues"
"644","Pop"
"645","Metal"
"646","Jazz"
"647","Metal"
"648","Jazz"
"649","Jazz"
"650","Rock"
"651","Jazz"
"652","Jazz"
"653","Rock"
"654","Pop"
"655","Classical"
"656","Rock"
"657","Classical"
"658","Jazz"
"659","Jazz"
"660","Rock"
"661","Blues"
"662","Jazz"
"663","Classical"
"664","Metal"
"665","Blues"
"666","Classical"
"667","Rock"
"668","Classical"
"669","Pop"
"670","Pop"
"671","Classical"
"672","Jazz"
"673","Classical"
"674","Jazz"
"675","Rock"
"676","Jazz"
"677","Jazz"
"678","Jazz"
"679","Rock"
"680","Classical"
"681","Pop"
"682","Metal"
"683","Pop"
"684","Rock"
"685","Jazz"
"686","Blues"
"687","Rock"
"688","Blues"
"689","Pop"
"690","Classical"
"691","Jazz"
"692","Pop"
"693","Classical"
"694","Pop"
"695","Rock"
"696","Classical"
"697","Jazz"
"698","Classical"
"699","Metal"
"700","Jazz"
"701","Jazz"
"702","Jazz"
"703","Jazz"
"704","Classical"
"705","Classical"
"706","Classical"
"707","Jazz"
"708","Blues"
"709","Blues"
"710","Pop"
"711","Pop"
"712","Blues"
"713","Rock"
"714","Rock"
"715","Jazz"
"716","Pop"
"717","Classical"
"718","Classical"
"719","Pop"
"720","Classical"
"721","Jazz"
"722","Rock"
"723","Metal"
"724","Rock"
"725","Classical"
"726","Jazz"
"727","Pop"
"728","Classical"
"729","Classical"
"730","Rock"
"731","Classical"
"732","Blues"
"733","Rock"
"734","Blues"
"735","Pop"
"736","Classical"
"737","Pop"
"738","Pop"
"739","Pop"
"740","Blues"
"741","Jazz"
"742","Blues"
"743","Classical"
"744","Metal"
"745","Rock"
"746","Classical"
"747","Blues"
"748","Pop"
"749","Jazz"
"750","Pop"
"751","Jazz"
"752","Jazz"
"753","Jazz"
"754","Metal"
"755","Jazz"
"756","Rock"
"757","Classical"
"758","Rock"
"759","Pop"
"760","Classical"
"761","Rock"
"762","Classical"
"763","Blues"
"764","Jazz"
"765","Pop"
"766","Jazz"
"767","Jazz"
"768","Blues"
"769","Rock"
"770","Jazz"
"771","Pop"
"772","Pop"
"773","Classical"
"774","Rock"
"775","Jazz"
"776","Rock"
"777","Jazz"
"778","Pop"
"779","Rock"
"780","Jazz"
"781","Jazz"
"782","Rock"
"783","Pop"
"784","Classical"
"785","Classical"
"786","Rock"
"787","Jazz"
"788","Classical"
"789","Rock"
"790","Blues"
"791","Rock"
"792","Metal"
"793","Jazz"
"794","Classical"
"795","Pop"
"796","Rock"
"797","Metal"
"798","Classical"
"799","Rock"
"800","Blues"
"801","Jazz"
"802","Classical"
"803","Rock"
"804","Rock"
"805","Classical"
"806","Classical"
"807","Metal"
"808","Classical"
"809","Jazz"
"810","Rock"
"811","Jazz"
"812","Jazz"
"813","Jazz"
"814","Classical"
"815","Blues"
"816","Blues"
"817","Classical"
"818","Classical"
"819","Blues"
"820","Blues"
"821","Blues"
"822","Rock"
"823","Classical"
"824","Pop"
"825","Classical"
"826","Jazz"
"827","Blues"
"828","Rock"
"829","Rock"
"830","Classical"
"831","Rock"
"832","Rock"
"833","Rock"
"834","Classical"
"835","Rock"
"836","Classical"
"837","Jazz"
"838","Classical"
"839","Classical"
"840","Jazz"
"841","Blues"
"842","Rock"
"843","Metal"
"844","Classical"
"845","Rock"
"846","Classical"
"847","Rock"
"848","Blues"
"849","Classical"
"850","Metal"
"851","Classical"
"852","Jazz"
"853","Rock"
"854","Jazz"
"855","Jazz"
"856","Blues"
"857","Rock"
"858","Rock"
"859","Classical"
"860","Pop"
"861","Classical"
"862","Rock"
"863","Pop"
"864","Jazz"
"865","Jazz"
"866","Classical"
"867","Jazz"
"868","Blues"
"869","Rock"
"870","Rock"
"871","Pop"
"872","Metal"
"873","Classical"
"874","Pop"
"875","Classical"
"876","Jazz"
"877","Blues"
"878","Rock"
"879","Classical"
"880","Pop"
"881","Jazz"
"882","Rock"
"883","Classical"
"884","Blues"
"885","Jazz"
"886","Jazz"
"887","Jazz"
"888","Classical"
"889","Classical"
"890","Classical"
"891","Jazz"
"892","Classical"
"893","Jazz"
"894","Rock"
"895","Pop"
"896","Classical"
"897","Pop"
"898","Jazz"
"899","Rock"
"900","Blues"
"901","Pop"
"902","Jazz"
"903","Classical"
"904","Metal"
"905","Rock"
"906","Classical"
"907","Jazz"
"908","Classical"
"909","Blues"
"910","Metal"
"911","Pop"
"912","Pop"
"913","Pop"
"914","Pop"
"915","Jazz"
"916","Blues"
"917","Jazz"
"918","Rock"
"919","Jazz"
"920","Rock"
"921","Blues"
"922","Blues"
"923","Rock"
"924","Rock"
"925","Rock"
"926","Pop"
"927","Jazz"
"928","Pop"
"929","Classical"
"930","Classical"
"931","Pop"
"932","Classical"
"933","Pop"
"934","Classical"
"935","Classical"
"936","Jazz"
"937","Jazz"
"938","Classical"
"939","Classical"
"940","Rock"
"941","Blues"
"942","Classical"
"943","Blues"
"944","Metal"
"945","Jazz"
"946","Rock"
"947","Jazz"
"948","Blues"
"949","Jazz"
"950","Classical"
"951","Classical"
"952","Jazz"
"953","Classical"
"954","Blues"
"955","Rock"
"956","Classical"
"957","Rock"
"958","Classical"
"959","Metal"
"960","Classical"
"961","Rock"
"962","Jazz"
"963","Rock"
"964","Jazz"
"965","Classical"
"966","Rock"
"967","Rock"
"968","Rock"
"969","Metal"
"970","Classical"
"971","Classical"
"972","Classical"
"973","Classical"
"974","Classical"
"975","Pop"
"976","Jazz"
"977","Classical"
"978","Classical"
"979","Jazz"
"980","Jazz"
"981","Classical"
"982","Classical"
"983","Classical"
"984","Rock"
"985","Classical"
"986","Blues"
"987","Jazz"
"988","Jazz"
"989","Classical"
"990","Jazz"
"991","Classical"
"992","Jazz"
"993","Classical"
"994","Jazz"
"995","Metal"
"996","Rock"
"997","Classical"
"998","Jazz"
"999","Pop"
"1000","Pop"
"1001","Jazz"
"1002","Jazz"
"1003","Pop"
"1004","Rock"
"1005","Classical"
"1006","Pop"
"1007","Metal"
"1008","Classical"
"1009","Rock"
"1010","Classical"
"1011","Pop"
"1012","Rock"
"1013","Classical"
"1014","Classical"
"1015","Blues"
"1016","Blues"
"1017","Rock"
"1018","Rock"
"1019","Pop"
"1020","Jazz"
"1021","Metal"
"1022","Blues"
"1023","Pop"
"1024","Classical"
"1025","Classical"
"1026","Jazz"
"1027","Blues"
"1028","Classical"
"1029","Blues"
"1030","Jazz"
"1031","Jazz"
"1032","Classical"
"1033","Pop"
"1034","Jazz"
"1035","Classical"
"1036","Jazz"
"1037","Jazz"
"1038","Classical"
"1039","Pop"
"1040","Classical"
"1041","Classical"
"1042","Pop"
"1043","Jazz"
"1044","Metal"
"1045","Rock"
"1046","Blues"
"1047","Classical"
"1048","Jazz"
"1049","Jazz"
"1050","Jazz"
"1051","Classical"
"1052","Pop"
"1053","Jazz"
"1054","Classical"
"1055","Classical"
"1056","Classical"
"1057","Classical"
"1058","Jazz"
"1059","Blues"
"1060","Classical"
"1061","Blues"
"1062","Rock"
"1063","Classical"
"1064","Classical"
"1065","Blues"
"1066","Rock"
"1067","Classical"
"1068","Pop"
"1069","Jazz"
"1070","Metal"
"1071","Rock"
"1072","Metal"
"1073","Jazz"
"1074","Jazz"
"1075","Jazz"
"1076","Rock"
"1077","Jazz"
"1078","Metal"
"1079","Jazz"
"1080","Classical"
"1081","Jazz"
"1082","Metal"
"1083","Classical"
"1084","Pop"
"1085","Jazz"
"1086","Blues"
"1087","Jazz"
"1088","Classical"
"1089","Pop"
"1090","Classical"
"1091","Pop"
"1092","Blues"
"1093","Classical"
"1094","Pop"
"1095","Blues"
"1096","Pop"
